uv,ocr,search,sellingpoint,payment,material,placement
8.9292,0.0429,0.005,Flash Sale,cpd,jpg,sub-banner
4.6003,0.0378,0.0,Price Drop,cpc,gif,sub-banner
5.0181,0.1253,0.0,Price Drop,cpc,gif,sub-banner
4.4235,0.0007,0.0,Price Drop,cpc,gif,sub-banner
693.1246,0.0154,0.004,Flash Sale,cpm,swf,tips
4.8117,0.091,0.006,Spend & Save,cpc,jpg,banner
5.6291,0.12,0.0004,Gift with Purchase,roi,jpg,uncertained
7.6312,0.2745,0.0123,Gift with Purchase,cpc,jpg,banner
16.6911,0.0237,0.0168,Gift with Purchase,cpm,jpg,tips
214.924,0.1371,0.0105,Spend & Save,cpc,jpg,banner
574.8283,0.002,0.0015,Flash Sale,roi,swf,uncertained
401.4796,0.2749,0.0153,Spend & Save,cpc,jpg,banner
359.1127,0.0047,0.0015,Flash Sale,roi,jpg,uncertained
13.009,0.2035,0.0045,Discount,cpd,jpg,tips
647.692,0.0169,0.0013,Flash Sale,cpm,swf,tips
60.4651,0.0071,0.0025,Flash Sale,roi,jpg,tips
199.2405,0.0016,0.0002,Discount,roi,swf,uncertained
4.8913,0.0987,0.0,Price Drop,cpc,gif,sub-banner
2.4128,0.0477,0.004,Discount,cpm,swf,tips
52.116,0.038,0.0044,Gift with Purchase,cpm,jpg,tips
1022.3905,0.2403,0.0075,Discount,cpm,swf,tips
3.7654,0.2258,0.0097,Gift with Purchase,roi,jpg,uncertained
175.1629,0.0909,0.0039,Spend & Save,cpc,jpg,banner
31.0048,0.199,0.0076,Spend & Save,cpc,jpg,banner
16.3196,0.1333,0.0116,Gift with Purchase,cpm,jpg,tips
7.4262,0.0237,0.0056,Spend & Save,cpc,jpg,banner
52.788,0.2177,0.0068,Discount,cpd,swf,tips
47.4911,0.2264,0.0159,Gift with Purchase,cpc,jpg,banner
28.1879,0.2161,0.0088,Spend & Save,cpc,jpg,banner
5.4056,0.2065,0.0,Price Drop,cpc,gif,sub-banner
62.1493,0.0421,0.0035,Discount,cpd,swf,uncertained
5.22,0.1676,0.0,Price Drop,cpc,gif,sub-banner
153.4616,0.0342,0.0019,Spend & Save,cpm,jpg,tips
220.92,0.2,0.0072,Price Drop,cpc,jpg,sub-banner
0.9599,0.0101,0.0007,Discount,cpm,swf,tips
31.1795,0.1801,0.0086,Spend & Save,cpc,jpg,banner
482.9909,0.0087,0.0009,Discount,cpm,swf,tips
1.8703,0.0574,0.012,Discount,cpc,swf,uncertained
202.3379,0.1525,0.008,Cash/Coupon-Back,cpc,jpg,sub-banner
397.3542,0.2953,0.0147,Spend & Save,cpc,jpg,banner
734.9308,0.01,0.0014,Price Drop,cpm,swf,tips
18.5714,0.0873,0.0062,Gift with Purchase,cpc,jpg,banner
60.588,0.054,0.0038,Discount,cpd,swf,uncertained
56.9151,0.2258,0.012,Spend & Save,cpc,jpg,banner
1059.9806,0.0056,0.001,Discount,cpm,swf,tips
106.7076,0.0871,0.0058,Discount,cpd,jpg,tips
9.7837,0.3157,0.0083,Spend & Save,cpc,jpg,banner
5.3509,0.1951,0.0,Price Drop,cpc,gif,sub-banner
27.9473,0.1078,0.0099,Gift with Purchase,cpd,jpg,sub-banner
141.2341,0.0039,0.0006,Flash Sale,roi,jpg,uncertained
5.3505,0.195,0.0,Price Drop,cpc,gif,sub-banner
57.1567,0.0357,0.0037,Discount,cpd,swf,uncertained
7.3407,0.0299,0.0067,Spend & Save,cpc,jpg,banner
84.277,0.1724,0.0121,Gift with Purchase,cpc,jpg,banner
1022.3961,0.2403,0.0075,Discount,cpm,swf,tips
16.6886,0.0241,0.0168,Gift with Purchase,cpm,jpg,tips
0.6946,0.0245,0.0098,Discount,cpm,swf,tips
18.5558,0.0867,0.0063,Gift with Purchase,cpc,jpg,banner
1059.0025,0.0247,0.0017,Flash Sale,cpd,jpg,tips
14.1096,0.0197,0.0199,Gift with Purchase,roi,jpg,uncertained
55.8576,0.0358,0.0046,Flash Sale,cpd,jpg,tips
1013.0218,0.1914,0.0062,Discount,cpm,swf,tips
2.6997,0.0288,0.0024,Discount,cpm,swf,tips
77.5875,0.0777,0.0042,Discount,cpd,swf,uncertained
143.7959,0.0144,0.0004,Discount,roi,jpg,uncertained
1.684,0.2843,0.0078,Spend & Save,cpc,jpg,banner
8.3277,0.0075,0.0007,Flash Sale,cpc,jpg,banner
51.28,0.03,0.0109,Discount,cpm,swf,tips
344.1828,0.0021,0.0003,Discount,roi,swf,uncertained
61.3968,0.0076,0.0027,Flash Sale,roi,jpg,tips
1114.5909,0.0228,0.0013,Discount,cpd,jpg,tips
498.4172,0.0093,0.0028,Price Drop,cpm,swf,tips
5.3493,0.1947,0.0,Price Drop,cpc,gif,sub-banner
109.8142,0.0036,0.0006,Flash Sale,roi,jpg,uncertained
156.6236,0.2441,0.0118,Spend & Save,cpc,jpg,banner
452.546,0.0034,0.0027,Discount,roi,swf,uncertained
397.2261,0.282,0.0156,Spend & Save,cpc,jpg,banner
810.6013,0.04,0.0042,Discount,cpm,swf,tips
4.4322,0.0025,0.0,Price Drop,cpc,gif,sub-banner
258.4367,0.0071,0.0012,Price Drop,roi,jpg,uncertained
0.694,0.0215,0.0099,Discount,cpm,swf,tips
19.6688,0.0702,0.0044,Flash Sale,cpm,jpg,tips
20.819,0.0099,0.0042,Flash Sale,roi,jpg,uncertained
95.5874,0.1447,0.0079,Gift with Purchase,cpd,jpg,sub-banner
18.6191,0.0889,0.006,Gift with Purchase,cpc,jpg,banner
12.6524,0.1726,0.0075,Spend & Save,cpc,jpg,banner
389.7116,0.0279,0.0025,Discount,cpm,swf,tips
4.9303,0.1069,0.0,Price Drop,cpc,gif,sub-banner
1.92,0.12,0.025,Gift with Purchase,cpc,swf,uncertained
4.5182,0.0206,0.0,Price Drop,cpc,gif,sub-banner
273.3525,0.0045,0.0007,Gift with Purchase,roi,jpg,uncertained
8.3238,0.0594,0.0036,Spend & Save,cpc,jpg,banner
16.3079,0.0154,0.0185,Gift with Purchase,roi,jpg,uncertained
35.4982,0.2593,0.0077,Price Drop,cpc,jpg,banner
61.3768,0.0509,0.004,Discount,cpd,swf,uncertained
19.2379,0.0084,0.004,Flash Sale,roi,jpg,uncertained
52.7838,0.2179,0.0068,Discount,cpd,swf,tips
222.7513,0.108,0.0046,Discount,cpd,jpg,tips
13.2976,0.2456,0.0154,Spend & Save,cpc,jpg,banner
397.1601,0.26,0.0105,Spend & Save,cpc,jpg,banner
62.1164,0.0426,0.0036,Discount,cpd,swf,uncertained
12.8384,0.0172,0.0014,Flash Sale,cpd,jpg,sub-banner
1113.7536,0.0316,0.0019,Discount,cpd,jpg,tips
5.3018,0.1848,0.0,Price Drop,cpc,gif,sub-banner
0.9433,0.0094,0.0,Discount,cpm,swf,tips
18.1492,0.2387,0.0066,Spend & Save,cpc,jpg,banner
1023.5381,0.2466,0.0076,Discount,cpm,swf,tips
9.606,0.2881,0.0076,Spend & Save,cpc,jpg,banner
29.2154,0.1313,0.0126,Gift with Purchase,cpc,jpg,banner
29.7663,0.1453,0.0131,Gift with Purchase,cpc,jpg,banner
0.7023,0.0084,0.0046,Discount,cpm,swf,tips
5.1924,0.1618,0.0,Price Drop,cpc,gif,sub-banner
56.2344,0.2045,0.0087,Spend & Save,cpc,jpg,banner
47.5956,0.2142,0.0142,Gift with Purchase,cpc,jpg,banner
251.62,0.05,0.0084,Cash/Coupon-Back,cpc,jpg,sub-banner
1.6542,0.2893,0.006,Spend & Save,cpc,jpg,banner
6.1278,0.2184,0.005,Discount,cpd,swf,tips
27.9787,0.1617,0.0083,Cash/Coupon-Back,cpc,jpg,sub-banner
108.4274,0.0691,0.0033,Discount,cpd,jpg,tips
218.8036,0.01,0.0013,Discount,roi,swf,uncertained
1119.3875,0.0101,0.0008,Discount,cpm,swf,uncertained
50.83,0.0282,0.0091,Discount,cpm,jpg,tips
0.6904,0.0023,0.0105,Discount,cpm,swf,tips
77.5531,0.1588,0.0097,Cash/Coupon-Back,cpc,jpg,sub-banner
57.1571,0.0357,0.0037,Discount,cpd,swf,uncertained
967.349,0.01,0.0011,Price Drop,roi,swf,uncertained
37.89,0.0578,0.0045,Discount,cpd,swf,tips
26.2029,0.1743,0.0076,Spend & Save,cpc,jpg,banner
715.9569,0.01,0.0014,Discount,cpm,swf,tips
61.2963,0.0049,0.002,Flash Sale,roi,jpg,tips
18.2965,0.234,0.0071,Spend & Save,cpc,jpg,banner
882.0334,0.0073,0.0009,Price Drop,roi,swf,uncertained
39.3324,0.0436,0.001,Discount,cpm,swf,uncertained
1051.6068,0.0544,0.0024,Discount,cpm,swf,tips
468.4398,0.2166,0.0104,Spend & Save,cpc,jpg,banner
20.762,0.0099,0.0042,Flash Sale,roi,jpg,uncertained
64.3626,0.0316,0.0044,Discount,cpd,swf,uncertained
846.0147,0.0044,0.0006,Discount,cpm,swf,tips
5.5613,0.12,0.0005,Gift with Purchase,roi,jpg,uncertained
6.0376,0.0606,0.006,Flash Sale,cpc,jpg,banner
296.1127,0.0096,0.0013,Price Drop,roi,swf,uncertained
156.3545,0.0002,0.0002,Discount,roi,jpg,uncertained
324.0077,0.149,0.0141,Discount,roi,swf,uncertained
5.2226,0.1682,0.0,Price Drop,cpc,gif,sub-banner
385.4685,0.0841,0.0043,Flash Sale,cpd,jpg,sub-banner
602.0766,0.0009,0.0026,Discount,roi,jpg,uncertained
414.8485,0.0359,0.0059,Flash Sale,roi,jpg,uncertained
4.7453,0.0682,0.0,Price Drop,cpc,gif,sub-banner
751.8714,0.0114,0.0016,Discount,roi,swf,uncertained
5.345,0.1938,0.0,Price Drop,cpc,gif,sub-banner
30.7978,0.2545,0.0097,Spend & Save,cpc,jpg,banner
4.9372,0.1084,0.0,Price Drop,cpc,gif,sub-banner
54.9843,0.0533,0.0079,Gift with Purchase,cpm,swf,tips
430.0068,0.0186,0.0019,Flash Sale,roi,jpg,uncertained
26.3114,0.0892,0.008,Gift with Purchase,cpm,jpg,tips
758.6168,0.0154,0.0013,Discount,roi,jpg,uncertained
26.1464,0.0171,0.0055,Gift with Purchase,roi,jpg,uncertained
4.2266,0.1082,0.0178,Spend & Save,cpc,jpg,banner
225.3697,0.0888,0.0033,Discount,cpd,swf,tips
20.0137,0.223,0.0153,Price Drop,cpc,jpg,banner
1019.2123,0.1725,0.0057,Discount,cpm,swf,tips
1.4149,0.0196,0.0176,Spend & Save,cpc,jpg,banner
5.8563,0.2005,0.0046,Discount,cpd,swf,tips
0.7498,0.3188,0.0001,Discount,cpm,swf,tips
16.5712,0.1835,0.0037,Gift with Purchase,cpd,jpg,sub-banner
5.326,0.1898,0.0,Price Drop,cpc,gif,sub-banner
225.2407,0.1024,0.0033,Discount,cpd,swf,tips
4.4419,0.0046,0.0,Price Drop,cpc,gif,sub-banner
71.9808,0.0588,0.0043,Discount,cpd,swf,uncertained
42.105,0.0507,0.0051,Flash Sale,cpd,jpg,sub-banner
56.5315,0.028,0.0038,Discount,cpd,swf,uncertained
269.2881,0.0306,0.0011,Discount,cpd,jpg,sub-banner
5.084,0.1391,0.0,Price Drop,cpc,gif,sub-banner
878.1584,0.0098,0.0011,Discount,roi,swf,uncertained
18.3142,0.1051,0.0054,Gift with Purchase,cpc,jpg,banner
211.1619,0.1862,0.0103,Spend & Save,cpc,jpg,banner
5.2729,0.1787,0.0,Price Drop,cpc,gif,sub-banner
203.9174,0.0096,0.0005,Discount,roi,swf,uncertained
587.4932,0.0027,0.0007,Discount,roi,jpg,uncertained
395.0405,0.005,0.0009,Spend & Save,roi,swf,uncertained
63.7444,0.035,0.0043,Discount,cpd,swf,uncertained
1.9428,0.0064,0.0,Spend & Save,cpc,jpg,banner
5.2149,0.1666,0.0,Price Drop,cpc,gif,sub-banner
4.615,0.0409,0.0,Price Drop,cpc,gif,sub-banner
6.1213,0.0198,0.002,Flash Sale,cpc,jpg,banner
0.7841,0.256,0.0126,Spend & Save,cpc,jpg,banner
8.8705,0.1887,0.0189,Flash Sale,roi,jpg,uncertained
13.8782,0.1054,0.0031,Discount,cpd,jpg,tips
2.4179,0.0486,0.0041,Discount,cpm,swf,tips
651.7351,0.0099,0.0004,Discount,roi,swf,uncertained
483.7873,0.0034,0.0038,Discount,cpm,swf,uncertained
8.4845,0.0113,0.0011,Flash Sale,cpc,jpg,banner
613.5402,0.0207,0.0012,Price Drop,cpm,swf,tips
19.9685,0.0684,0.0066,Flash Sale,cpd,jpg,sub-banner
4.9523,0.1115,0.0,Price Drop,cpc,gif,sub-banner
651.86,0.01,0.0004,Discount,roi,swf,uncertained
19.3866,0.2891,0.0167,Gift with Purchase,cpc,jpg,banner
324.36,0.23,0.0214,Discount,roi,swf,uncertained
513.5816,0.0249,0.0004,Price Drop,cpm,swf,tips
397.0013,0.278,0.01,Spend & Save,cpc,jpg,banner
103.4389,0.1588,0.0104,Cash/Coupon-Back,cpc,jpg,sub-banner
17.2541,0.0416,0.0137,Gift with Purchase,cpd,jpg,sub-banner
483.9664,0.005,0.0029,Discount,cpm,swf,tips
490.4958,0.0205,0.0041,Price Drop,roi,jpg,uncertained
854.1,0.01,0.0002,Discount,roi,swf,uncertained
108.9578,0.0679,0.0029,Discount,cpd,swf,uncertained
156.4002,0.2461,0.0118,Spend & Save,cpc,jpg,banner
12.9632,0.2798,0.0031,Spend & Save,cpc,jpg,banner
323.7981,0.1007,0.0098,Discount,roi,swf,uncertained
5.3906,0.2034,0.0,Price Drop,cpc,gif,sub-banner
5.5839,0.0075,0.0007,Flash Sale,cpc,jpg,banner
4.6169,0.0413,0.0,Price Drop,cpc,gif,sub-banner
450.007,0.0018,0.0027,Discount,roi,swf,uncertained
55.1805,0.0545,0.0077,Gift with Purchase,cpm,swf,tips
139.1494,0.3011,0.0181,Cash/Coupon-Back,cpc,jpg,sub-banner
3.1557,0.2208,0.0099,Gift with Purchase,roi,jpg,uncertained
62.1638,0.0419,0.0035,Discount,cpd,swf,uncertained
1022.8859,0.243,0.0076,Discount,cpm,swf,tips
26.2945,0.0862,0.0081,Gift with Purchase,cpm,jpg,tips
838.3132,0.0014,0.0008,Discount,cpm,swf,tips
437.2947,0.1765,0.0119,Spend & Save,cpc,jpg,banner
155.8233,0.0626,0.0032,Price Drop,cpm,jpg,sub-banner
5.2484,0.1736,0.0,Price Drop,cpc,gif,sub-banner
125.4879,0.1818,0.013,Spend & Save,cpc,jpg,banner
1114.668,0.0249,0.0015,Discount,cpd,jpg,tips
0.6904,0.0024,0.0105,Discount,cpm,swf,tips
4.5365,0.0244,0.0,Price Drop,cpc,gif,sub-banner
761.8723,0.0121,0.0008,Flash Sale,cpm,swf,tips
18.4866,0.0966,0.0057,Gift with Purchase,cpc,jpg,banner
4.8861,0.0977,0.0,Price Drop,cpc,gif,sub-banner
2.2858,0.0216,0.0017,Gift with Purchase,cpc,jpg,banner
338.9426,0.0297,0.0014,Discount,roi,swf,uncertained
310.673,0.0158,0.0033,Discount,cpc,jpg,tips
650.7826,0.0083,0.0004,Discount,roi,swf,uncertained
807.5486,0.0358,0.0042,Discount,cpm,swf,tips
4.8844,0.0973,0.0,Price Drop,cpc,gif,sub-banner
82.1965,0.1106,0.0049,Discount,cpd,jpg,tips
665.0028,0.0181,0.0032,Spend & Save,cpd,swf,tips
888.4472,0.01,0.0014,Spend & Save,cpd,jpg,sub-banner
673.0799,0.0112,0.0022,Discount,cpm,swf,tips
0.743,0.2829,0.0012,Discount,cpm,swf,tips
14.1724,0.0194,0.0199,Gift with Purchase,roi,jpg,uncertained
288.4582,0.0112,0.0011,Discount,cpc,jpg,tips
609.12,0.01,0.0005,Flash Sale,roi,swf,uncertained
5.3373,0.1922,0.0,Price Drop,cpc,gif,sub-banner
0.6922,0.0118,0.0102,Discount,cpm,swf,tips
4.6231,0.0426,0.0,Price Drop,cpc,gif,sub-banner
224.1151,0.0784,0.0026,Discount,cpd,swf,tips
10.3761,0.0736,0.005,Gift with Purchase,cpc,jpg,banner
2.7262,0.0077,0.0006,Discount,cpm,swf,tips
118.823,0.2389,0.0061,Discount,cpd,swf,uncertained
142.4491,0.0222,0.0008,Price Drop,cpm,jpg,sub-banner
837.1378,0.0048,0.0015,Discount,cpm,swf,tips
3.0199,0.1364,0.0108,Gift with Purchase,cpc,jpg,banner
694.9661,0.0138,0.0039,Gift with Purchase,cpm,swf,tips
199.0804,0.004,0.0005,Discount,roi,swf,uncertained
7.34,0.03,0.0067,Spend & Save,cpc,jpg,banner
376.505,0.0148,0.0022,Discount,cpd,jpg,sub-banner
57.7468,0.2267,0.0122,Spend & Save,cpc,jpg,banner
2.7576,0.0114,0.0009,Discount,cpm,swf,tips
31.0977,0.1454,0.0133,Gift with Purchase,cpc,jpg,banner
63.4913,0.0363,0.0042,Discount,cpd,swf,uncertained
1.9554,0.1437,0.0038,Spend & Save,cpc,jpg,banner
49.8483,0.0208,0.0019,Gift with Purchase,cpm,jpg,tips
12.8122,0.1074,0.0033,Discount,cpd,jpg,sub-banner
932.39,0.001,0.0003,Gift with Purchase,roi,swf,uncertained
8.463,0.0208,0.002,Flash Sale,cpc,jpg,banner
5.3667,0.1984,0.0,Price Drop,cpc,gif,sub-banner
840.7129,0.0004,0.0001,Discount,cpm,swf,tips
4.8469,0.0894,0.0,Price Drop,cpc,gif,sub-banner
8.8648,0.1887,0.0189,Flash Sale,roi,jpg,uncertained
257.0897,0.0119,0.0008,Spend & Save,cpm,jpg,tips
7.6963,0.2694,0.0121,Gift with Purchase,cpc,jpg,banner
74.2694,0.0666,0.0043,Discount,cpd,swf,uncertained
61.3811,0.0508,0.004,Discount,cpd,swf,uncertained
715.8958,0.01,0.0013,Discount,cpm,swf,tips
5.0593,0.0581,0.0148,Spend & Save,cpc,jpg,banner
70.5813,0.0253,0.0018,Flash Sale,cpm,swf,tips
228.7022,0.2364,0.0087,Cash/Coupon-Back,cpc,jpg,sub-banner
63.8857,0.0343,0.0043,Discount,cpd,swf,uncertained
688.8916,0.0199,0.0041,Discount,cpm,swf,tips
4.7429,0.0677,0.0,Price Drop,cpc,gif,sub-banner
404.5681,0.0089,0.0007,Discount,cpm,swf,tips
4.6149,0.0408,0.0,Price Drop,cpc,gif,sub-banner
5.4498,0.2158,0.0,Price Drop,cpc,gif,sub-banner
397.291,0.2921,0.0163,Spend & Save,cpc,jpg,banner
115.9353,0.2237,0.01,Spend & Save,cpc,jpg,banner
1.41,0.0002,0.0201,Spend & Save,cpc,jpg,banner
395.67,0.0072,0.0008,Spend & Save,roi,swf,uncertained
0.6915,0.0081,0.0103,Discount,cpm,swf,tips
498.263,0.009,0.0028,Price Drop,cpm,swf,tips
1.9197,0.1199,0.025,Gift with Purchase,cpc,swf,tips
3.5027,0.1033,0.0119,Gift with Purchase,cpc,jpg,banner
5.9785,0.0583,0.0058,Flash Sale,cpc,jpg,banner
2.8991,0.1598,0.0126,Gift with Purchase,cpc,jpg,banner
171.7829,0.0196,0.0031,Flash Sale,roi,jpg,uncertained
810.3898,0.0396,0.0042,Discount,cpm,swf,tips
224.1434,0.0867,0.0027,Discount,cpd,swf,tips
45.2908,0.2035,0.0139,Gift with Purchase,cpc,jpg,banner
694.9184,0.0139,0.0039,Gift with Purchase,cpm,swf,tips
5.5897,0.1829,0.0042,Discount,cpd,jpg,tips
63.2554,0.15,0.0118,Spend & Save,cpc,jpg,banner
832.2729,0.01,0.0021,Spend & Save,cpd,jpg,sub-banner
13.8215,0.0988,0.003,Discount,cpd,jpg,tips
4.8776,0.0959,0.0,Price Drop,cpc,gif,sub-banner
15.6605,0.1256,0.0111,Gift with Purchase,roi,jpg,uncertained
13.2591,0.187,0.0033,Flash Sale,cpd,jpg,tips
1107.9321,0.0004,0.0014,Discount,roi,swf,uncertained
498.1675,0.0088,0.0028,Gift with Purchase,cpm,swf,tips
1136.715,0.01,0.0016,Discount,roi,swf,uncertained
33.799,0.0093,0.0006,Gift with Purchase,cpm,jpg,sub-banner
5.1386,0.1506,0.0,Price Drop,cpc,gif,sub-banner
0.9843,0.2429,0.0082,Spend & Save,cpc,jpg,banner
3.7573,0.2262,0.0097,Gift with Purchase,roi,jpg,uncertained
4.9375,0.1084,0.0,Price Drop,cpc,gif,sub-banner
66.5572,0.0056,0.0021,Flash Sale,roi,jpg,tips
11.9232,0.0029,0.0047,Flash Sale,cpm,jpg,tips
3.9349,0.0721,0.0012,Flash Sale,cpd,jpg,tips
16.9289,0.0996,0.0097,Gift with Purchase,cpd,jpg,sub-banner
49.4324,0.023,0.0026,Gift with Purchase,cpm,jpg,tips
462.0069,0.1224,0.0082,Spend & Save,cpc,jpg,banner
67.566,0.01,0.0035,Flash Sale,roi,jpg,tips
696.5197,0.0005,0.0001,Flash Sale,roi,jpg,uncertained
259.7066,0.01,0.0007,Spend & Save,roi,swf,uncertained
770.5003,0.0148,0.0006,Discount,cpm,swf,tips
5.2085,0.1652,0.0,Price Drop,cpc,gif,sub-banner
14.2479,0.0191,0.0199,Gift with Purchase,roi,jpg,uncertained
71.022,0.1516,0.0133,Price Drop,cpc,jpg,banner
31.7979,0.0844,0.0091,Spend & Save,cpc,jpg,banner
63.6737,0.15,0.0122,Spend & Save,cpc,jpg,banner
711.633,0.01,0.0012,Discount,cpm,swf,tips
159.822,0.1937,0.0122,Spend & Save,cpc,jpg,banner
618.2093,0.0002,0.0011,Discount,roi,swf,uncertained
4.8971,0.1,0.0,Price Drop,cpc,gif,sub-banner
4.1624,0.033,0.0098,Gift with Purchase,cpc,jpg,banner
2.7579,0.0114,0.0009,Discount,cpm,swf,tips
8.4938,0.0146,0.0015,Flash Sale,cpc,jpg,banner
63.8649,0.0344,0.0043,Discount,cpd,swf,uncertained
780.5049,0.1286,0.0089,Cash/Coupon-Back,cpc,jpg,sub-banner
51.1366,0.1956,0.0114,Price Drop,cpc,jpg,banner
1021.0235,0.2072,0.0066,Discount,cpm,swf,tips
31.3614,0.1843,0.0119,Spend & Save,cpc,jpg,banner
1.762,0.0218,0.0018,Discount,cpm,swf,uncertained
54.4384,0.1748,0.0082,Price Drop,cpc,jpg,banner
4.5053,0.0179,0.0,Price Drop,cpc,gif,sub-banner
9.7562,0.0587,0.0078,Flash Sale,roi,jpg,uncertained
20.7033,0.0096,0.004,Flash Sale,cpm,jpg,tips
579.7248,0.0034,0.0004,Flash Sale,roi,swf,uncertained
5.068,0.1358,0.0,Price Drop,cpc,gif,sub-banner
126.0337,0.1316,0.0097,Spend & Save,cpc,jpg,banner
4.424,0.0008,0.0,Price Drop,cpc,gif,sub-banner
600.8061,0.0097,0.0025,Discount,roi,swf,uncertained
1011.3394,0.0173,0.0014,Discount,cpm,swf,tips
17.5509,0.1771,0.0048,Flash Sale,cpm,jpg,tips
8.3851,0.0749,0.0074,Flash Sale,cpd,jpg,sub-banner
218.8465,0.1167,0.0065,Spend & Save,cpc,jpg,banner
56.2264,0.0243,0.0039,Discount,cpd,swf,uncertained
89.4613,0.1557,0.0063,Price Drop,cpd,jpg,sub-banner
4.8751,0.0954,0.0,Price Drop,cpc,gif,sub-banner
60.501,0.0544,0.0038,Discount,cpd,swf,uncertained
395.3527,0.0179,0.0022,Discount,cpm,swf,tips
5.2167,0.1669,0.0,Price Drop,cpc,gif,sub-banner
61.6327,0.0493,0.0041,Discount,cpd,swf,uncertained
41.2515,0.0512,0.0057,Discount,cpd,jpg,sub-banner
657.6736,0.037,0.0014,Discount,roi,swf,uncertained
55.0455,0.1596,0.003,Spend & Save,cpc,jpg,banner
893.1393,0.01,0.0022,Discount,roi,swf,uncertained
9.1449,0.1603,0.0052,Spend & Save,cpc,jpg,banner
390.1411,0.0176,0.0018,Discount,cpm,swf,tips
4.5471,0.0266,0.0,Price Drop,cpc,gif,sub-banner
31.3473,0.1838,0.0116,Spend & Save,cpc,jpg,banner
15.2919,0.2513,0.0029,Gift with Purchase,cpm,jpg,tips
993.4392,0.0164,0.0015,Gift with Purchase,cpd,jpg,sub-banner
4.5214,0.0212,0.0,Price Drop,cpc,gif,sub-banner
397.5623,0.0004,0.0025,Discount,cpm,swf,tips
4.7863,0.0767,0.0,Price Drop,cpc,gif,sub-banner
4.5931,0.0363,0.0,Price Drop,cpc,gif,sub-banner
733.3656,0.0089,0.0012,Discount,roi,swf,uncertained
19.2268,0.0084,0.004,Flash Sale,roi,jpg,uncertained
57.8642,0.2032,0.0102,Spend & Save,cpc,jpg,banner
31.6998,0.0792,0.0071,Spend & Save,cpc,jpg,banner
9.5234,0.0325,0.004,Gift with Purchase,cpm,jpg,sub-banner
4.6505,0.0483,0.0,Price Drop,cpc,gif,sub-banner
6.1711,0.2212,0.0051,Discount,cpd,swf,tips
396.93,0.2876,0.01,Spend & Save,cpc,jpg,banner
0.694,0.0218,0.0099,Discount,cpm,swf,tips
13.9515,0.1689,0.0047,Gift with Purchase,cpm,jpg,tips
613.0317,0.0195,0.0013,Price Drop,cpm,swf,tips
0.6912,0.0063,0.0104,Discount,cpm,swf,tips
883.2605,0.01,0.0017,Spend & Save,cpc,jpg,banner
415.8819,0.0089,0.0017,Gift with Purchase,roi,jpg,uncertained
396.8646,0.2936,0.0096,Spend & Save,cpc,jpg,banner
400.0891,0.0052,0.002,Discount,cpm,swf,tips
5.1313,0.149,0.0,Price Drop,cpc,gif,sub-banner
5.3104,0.1866,0.0,Price Drop,cpc,gif,sub-banner
18.5867,0.0878,0.0061,Gift with Purchase,cpc,jpg,banner
688.7591,0.0198,0.0041,Discount,cpm,swf,tips
342.6585,0.0178,0.0023,Discount,roi,swf,uncertained
4.7503,0.0692,0.0,Price Drop,cpc,gif,sub-banner
2.7338,0.0086,0.0007,Discount,cpm,swf,tips
